"Date","September-13-2022"
"Time","02h17m09s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",2
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",2.999998e-02
"Number of Measurements",100
"Record Rate",1
"Record Time [s]",2.999998e+00
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Comment","biplaca1delta"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,2.510385e-01,4.047874e-01,8.792763e-01,2.909695e+01,3.077759e+01,6.255192e-01,6.528034e+01,1.002838e+02,-2.378874e+01,4.179516e-06,
2.999998e-02,2.512573e-01,4.039003e-01,8.796217e-01,2.905759e+01,3.079838e+01,6.256287e-01,6.533659e+01,1.002453e+02,-2.379068e+01,4.177647e-06,
5.999997e-02,2.517022e-01,4.044524e-01,8.792407e-01,2.905241e+01,3.077545e+01,6.258511e-01,6.529748e+01,1.002740e+02,-2.378770e+01,4.180519e-06,
8.999995e-02,2.512302e-01,4.043043e-01,8.794438e-01,2.907182e+01,3.078767e+01,6.256151e-01,6.531047e+01,1.002779e+02,-2.379092e+01,4.177419e-06,
1.199999e-01,2.516435e-01,4.043044e-01,8.793256e-01,2.905070e+01,3.078056e+01,6.258218e-01,6.530754e+01,1.002615e+02,-2.379216e+01,4.176225e-06,
1.499999e-01,2.509910e-01,4.047744e-01,8.792959e-01,2.909897e+01,3.077877e+01,6.254955e-01,6.528153e+01,1.002878e+02,-2.379641e+01,4.172142e-06,
1.799999e-01,2.514619e-01,4.037640e-01,8.796258e-01,2.904280e+01,3.079863e+01,6.257309e-01,6.534403e+01,1.002345e+02,-2.379532e+01,4.173190e-06,
2.099999e-01,2.518896e-01,4.042068e-01,8.793000e-01,2.903504e+01,3.077902e+01,6.259448e-01,6.531216e+01,1.002517e+02,-2.379374e+01,4.174703e-06,
2.399999e-01,2.514115e-01,4.042931e-01,8.793972e-01,2.906220e+01,3.078486e+01,6.257057e-01,6.530992e+01,1.002704e+02,-2.379644e+01,4.172112e-06,
2.699999e-01,2.516593e-01,4.041203e-01,8.794057e-01,2.904404e+01,3.078538e+01,6.258296e-01,6.531943e+01,1.002503e+02,-2.379941e+01,4.169260e-06,
2.999998e-01,2.511839e-01,4.048570e-01,8.792028e-01,2.909173e+01,3.077317e+01,6.255919e-01,6.527478e+01,1.002936e+02,-2.380142e+01,4.167331e-06,
3.299998e-01,2.510742e-01,4.039764e-01,8.796390e-01,2.906938e+01,3.079943e+01,6.255371e-01,6.533293e+01,1.002509e+02,-2.380311e+01,4.165708e-06,
3.599998e-01,2.518366e-01,4.040322e-01,8.793954e-01,2.903219e+01,3.078476e+01,6.259183e-01,6.532391e+01,1.002449e+02,-2.380168e+01,4.167084e-06,
3.899998e-01,2.513527e-01,4.044620e-01,8.793363e-01,2.907057e+01,3.078120e+01,6.256764e-01,6.529933e+01,1.002769e+02,-2.380563e+01,4.163295e-06,
4.199998e-01,2.515243e-01,4.039186e-01,8.795370e-01,2.904452e+01,3.079328e+01,6.257622e-01,6.533352e+01,1.002446e+02,-2.380959e+01,4.159494e-06,
4.499998e-01,2.513945e-01,4.045595e-01,8.792795e-01,2.907153e+01,3.077778e+01,6.256972e-01,6.529268e+01,1.002653e+02,-2.381786e+01,4.151586e-06,
4.799997e-01,2.510504e-01,4.042565e-01,8.795171e-01,2.907949e+01,3.079208e+01,6.255252e-01,6.531485e+01,1.002663e+02,-2.382121e+01,4.148380e-06,
5.099997e-01,2.517679e-01,4.038474e-01,8.795000e-01,2.902981e+01,3.079105e+01,6.258839e-01,6.533644e+01,1.002458e+02,-2.381804e+01,4.151417e-06,
5.399997e-01,2.512187e-01,4.045238e-01,8.793461e-01,2.907938e+01,3.078179e+01,6.256094e-01,6.529625e+01,1.002847e+02,-2.382091e+01,4.148671e-06,
5.699997e-01,2.513260e-01,4.041643e-01,8.794808e-01,2.906247e+01,3.078990e+01,6.256630e-01,6.531891e+01,1.002699e+02,-2.382441e+01,4.145330e-06,
5.999997e-01,2.511656e-01,4.048784e-01,8.791981e-01,2.909334e+01,3.077289e+01,6.255828e-01,6.527352e+01,1.002978e+02,-2.382556e+01,4.144232e-06,
6.299997e-01,2.510587e-01,4.041068e-01,8.795836e-01,2.907432e+01,3.079609e+01,6.255293e-01,6.532455e+01,1.002563e+02,-2.382548e+01,4.144306e-06,
6.599996e-01,2.517606e-01,4.043120e-01,8.792886e-01,2.904497e+01,3.077833e+01,6.258803e-01,6.530622e+01,1.002700e+02,-2.382387e+01,4.145845e-06,
6.899996e-01,2.511926e-01,4.045692e-01,8.793327e-01,2.908215e+01,3.078099e+01,6.255963e-01,6.529347e+01,1.002893e+02,-2.382511e+01,4.144664e-06,
7.199996e-01,2.513988e-01,4.049752e-01,8.790869e-01,2.908449e+01,3.076620e+01,6.256994e-01,6.526556e+01,1.002987e+02,-2.382638e+01,4.143445e-06,
7.499996e-01,2.509321e-01,4.048683e-01,8.792695e-01,2.910495e+01,3.077718e+01,6.254661e-01,6.527583e+01,1.002923e+02,-2.382884e+01,4.141105e-06,
7.799996e-01,2.510901e-01,4.040579e-01,8.795971e-01,2.907115e+01,3.079690e+01,6.255451e-01,6.532751e+01,1.002545e+02,-2.382939e+01,4.140582e-06,
8.099996e-01,2.516547e-01,4.044620e-01,8.792499e-01,2.905515e+01,3.077601e+01,6.258273e-01,6.529719e+01,1.002718e+02,-2.382809e+01,4.141819e-06,
8.399996e-01,2.511881e-01,4.045216e-01,8.793559e-01,2.908087e+01,3.078238e+01,6.255940e-01,6.529661e+01,1.002834e+02,-2.383086e+01,4.139175e-06,
8.699995e-01,2.515558e-01,4.045379e-01,8.792433e-01,2.906260e+01,3.077561e+01,6.257779e-01,6.529295e+01,1.002752e+02,-2.383231e+01,4.137793e-06,
8.999995e-01,2.508889e-01,4.047863e-01,8.793195e-01,2.910456e+01,3.078019e+01,6.254445e-01,6.528148e+01,1.002761e+02,-2.383910e+01,4.131328e-06,
9.299995e-01,2.513029e-01,4.037971e-01,8.796560e-01,2.905198e+01,3.080045e+01,6.256515e-01,6.534300e+01,1.002394e+02,-2.384211e+01,4.128464e-06,
9.599995e-01,2.520166e-01,4.040236e-01,8.793478e-01,2.902272e+01,3.078189e+01,6.260083e-01,6.532319e+01,1.002460e+02,-2.384029e+01,4.130203e-06,
9.899995e-01,2.515346e-01,4.044247e-01,8.793014e-01,2.906009e+01,3.077910e+01,6.257673e-01,6.530047e+01,1.002733e+02,-2.384531e+01,4.125426e-06,
1.019999e+00,2.516939e-01,4.042804e-01,8.793222e-01,2.904737e+01,3.078036e+01,6.258469e-01,6.530875e+01,1.002757e+02,-2.384471e+01,4.125997e-06,
1.049999e+00,2.513929e-01,4.048773e-01,8.791337e-01,2.908169e+01,3.076902e+01,6.256964e-01,6.527198e+01,1.002866e+02,-2.384470e+01,4.126004e-06,
1.079999e+00,2.510679e-01,4.041305e-01,8.795700e-01,2.907460e+01,3.079527e+01,6.255340e-01,6.532294e+01,1.002530e+02,-2.384836e+01,4.122533e-06,
1.109999e+00,2.519190e-01,4.035596e-01,8.795888e-01,2.901292e+01,3.079640e+01,6.259595e-01,6.535411e+01,1.002103e+02,-2.385036e+01,4.120633e-06,
1.139999e+00,2.516610e-01,4.043710e-01,8.792900e-01,2.905193e+01,3.077842e+01,6.258305e-01,6.530308e+01,1.002746e+02,-2.385692e+01,4.114412e-06,
1.169999e+00,2.517166e-01,4.040343e-01,8.794288e-01,2.903838e+01,3.078677e+01,6.258583e-01,6.532462e+01,1.002623e+02,-2.385687e+01,4.114466e-06,
1.199999e+00,2.516690e-01,4.045599e-01,8.792008e-01,2.905752e+01,3.077305e+01,6.258345e-01,6.529071e+01,1.002725e+02,-2.385690e+01,4.114435e-06,
1.229999e+00,2.509616e-01,4.044476e-01,8.794546e-01,2.909010e+01,3.078832e+01,6.254808e-01,6.530303e+01,1.002730e+02,-2.386394e+01,4.107769e-06,
1.259999e+00,2.517095e-01,4.038242e-01,8.795273e-01,2.903206e+01,3.079270e+01,6.258547e-01,6.533836e+01,1.002377e+02,-2.386262e+01,4.109014e-06,
1.289999e+00,2.514437e-01,4.046804e-01,8.792098e-01,2.907285e+01,3.077359e+01,6.257218e-01,6.528445e+01,1.002944e+02,-2.386450e+01,4.107236e-06,
1.319999e+00,2.514339e-01,4.042724e-01,8.794003e-01,2.906040e+01,3.078505e+01,6.257169e-01,6.531111e+01,1.002755e+02,-2.386732e+01,4.104572e-06,
1.349999e+00,2.511263e-01,4.048866e-01,8.792055e-01,2.909561e+01,3.077334e+01,6.255632e-01,6.527326e+01,1.002995e+02,-2.387215e+01,4.100010e-06,
1.379999e+00,2.509094e-01,4.042712e-01,8.795506e-01,2.908718e+01,3.079410e+01,6.254547e-01,6.531489e+01,1.002745e+02,-2.387370e+01,4.098552e-06,
1.409999e+00,2.515895e-01,4.043354e-01,8.793268e-01,2.905445e+01,3.078063e+01,6.257948e-01,6.530590e+01,1.002701e+02,-2.387306e+01,4.099147e-06,
1.439999e+00,2.509738e-01,4.046317e-01,8.793664e-01,2.909532e+01,3.078301e+01,6.254869e-01,6.529095e+01,1.003015e+02,-2.387787e+01,4.094614e-06,
1.469999e+00,2.515060e-01,4.044586e-01,8.792940e-01,2.906263e+01,3.077866e+01,6.257530e-01,6.529847e+01,1.002804e+02,-2.387902e+01,4.093527e-06,
1.499999e+00,2.509037e-01,4.049254e-01,8.792512e-01,2.910822e+01,3.077609e+01,6.254518e-01,6.527231e+01,1.003066e+02,-2.388008e+01,4.092530e-06,
1.529999e+00,2.516124e-01,4.039670e-01,8.794895e-01,2.904157e+01,3.079042e+01,6.258062e-01,6.532974e+01,1.002552e+02,-2.387253e+01,4.099657e-06,
1.559999e+00,2.518261e-01,4.043828e-01,8.792373e-01,2.904387e+01,3.077525e+01,6.259130e-01,6.530114e+01,1.002654e+02,-2.386873e+01,4.103242e-06,
1.589999e+00,2.514147e-01,4.043793e-01,8.793566e-01,2.906478e+01,3.078242e+01,6.257073e-01,6.530428e+01,1.002836e+02,-2.387000e+01,4.102045e-06,
1.619999e+00,2.518774e-01,4.042607e-01,8.792787e-01,2.903737e+01,3.077774e+01,6.259387e-01,6.530873e+01,1.002667e+02,-2.386574e+01,4.106064e-06,
1.649999e+00,2.512705e-01,4.047551e-01,8.792249e-01,2.908407e+01,3.077450e+01,6.256352e-01,6.528081e+01,1.002858e+02,-2.386534e+01,4.106442e-06,
1.679999e+00,2.513926e-01,4.040314e-01,8.795228e-01,2.905484e+01,3.079243e+01,6.256963e-01,6.532710e+01,1.002538e+02,-2.386571e+01,4.106097e-06,
1.709999e+00,2.523013e-01,4.040562e-01,8.792512e-01,2.900923e+01,3.077608e+01,6.261507e-01,6.531905e+01,1.002491e+02,-2.385517e+01,4.116073e-06,
1.739999e+00,2.516580e-01,4.045696e-01,8.791995e-01,2.905840e+01,3.077297e+01,6.258290e-01,6.529015e+01,1.002824e+02,-2.385315e+01,4.117987e-06,
1.769999e+00,2.516132e-01,4.041292e-01,8.794148e-01,2.904668e+01,3.078593e+01,6.258066e-01,6.531917e+01,1.002632e+02,-2.385209e+01,4.118994e-06,
1.799999e+00,2.521310e-01,4.043057e-01,8.791853e-01,2.902586e+01,3.077212e+01,6.260655e-01,6.530400e+01,1.002585e+02,-2.384843e+01,4.122462e-06,
1.829999e+00,2.514286e-01,4.047696e-01,8.791730e-01,2.907645e+01,3.077138e+01,6.257143e-01,6.527875e+01,1.002778e+02,-2.384799e+01,4.122878e-06,
1.859999e+00,2.512162e-01,4.041868e-01,8.795018e-01,2.906880e+01,3.079116e+01,6.256081e-01,6.531822e+01,1.002640e+02,-2.384670e+01,4.124112e-06,
1.889999e+00,2.517894e-01,4.042392e-01,8.793138e-01,2.904118e+01,3.077985e+01,6.258947e-01,6.531076e+01,1.002576e+02,-2.384376e+01,4.126898e-06,
1.919999e+00,2.511949e-01,4.047347e-01,8.792559e-01,2.908729e+01,3.077637e+01,6.255974e-01,6.528267e+01,1.003069e+02,-2.384323e+01,4.127401e-06,
1.949999e+00,2.515838e-01,4.043837e-01,8.793062e-01,2.905628e+01,3.077939e+01,6.257919e-01,6.530279e+01,1.002723e+02,-2.384104e+01,4.129489e-06,
1.979999e+00,2.511196e-01,4.048852e-01,8.792081e-01,2.909591e+01,3.077349e+01,6.255598e-01,6.527340e+01,1.002943e+02,-2.384177e+01,4.128792e-06,
2.009999e+00,2.512765e-01,4.040468e-01,8.795489e-01,2.906127e+01,3.079400e+01,6.256382e-01,6.532692e+01,1.002610e+02,-2.383902e+01,4.131406e-06,
2.039999e+00,2.516238e-01,4.044255e-01,8.792756e-01,2.905556e+01,3.077755e+01,6.258119e-01,6.529979e+01,1.002755e+02,-2.383694e+01,4.133387e-06,
2.069999e+00,2.512573e-01,4.044527e-01,8.793678e-01,2.907515e+01,3.078310e+01,6.256287e-01,6.530061e+01,1.002932e+02,-2.383700e+01,4.133334e-06,
2.099999e+00,2.516413e-01,4.045350e-01,8.792202e-01,2.905814e+01,3.077422e+01,6.258207e-01,6.529253e+01,1.002801e+02,-2.383286e+01,4.137271e-06,
2.129999e+00,2.508974e-01,4.047023e-01,8.793558e-01,2.910147e+01,3.078237e+01,6.254487e-01,6.528689e+01,1.002886e+02,-2.383394e+01,4.136240e-06,
2.159999e+00,2.515853e-01,4.040868e-01,8.794423e-01,2.904676e+01,3.078758e+01,6.257927e-01,6.532213e+01,1.002673e+02,-2.382634e+01,4.143489e-06,
2.189999e+00,2.514332e-01,4.046544e-01,8.792248e-01,2.907256e+01,3.077449e+01,6.257166e-01,6.528622e+01,1.002902e+02,-2.382246e+01,4.147194e-06,
2.219999e+00,2.512115e-01,4.041466e-01,8.795216e-01,2.906777e+01,3.079235e+01,6.256058e-01,6.532087e+01,1.002696e+02,-2.382758e+01,4.142305e-06,
2.249999e+00,2.516007e-01,4.046875e-01,8.791616e-01,2.906506e+01,3.077070e+01,6.258003e-01,6.528288e+01,1.002927e+02,-2.382839e+01,4.141535e-06,
2.279999e+00,2.509684e-01,4.045689e-01,8.793969e-01,2.909361e+01,3.078485e+01,6.254842e-01,6.529508e+01,1.002878e+02,-2.382697e+01,4.142891e-06,
2.309999e+00,2.518561e-01,4.038133e-01,8.794904e-01,2.902422e+01,3.079047e+01,6.259281e-01,6.533803e+01,1.002431e+02,-2.381946e+01,4.150056e-06,
2.339999e+00,2.517091e-01,4.046426e-01,8.791513e-01,2.905810e+01,3.077007e+01,6.258545e-01,6.528504e+01,1.002873e+02,-2.381761e+01,4.151826e-06,
2.369999e+00,2.513790e-01,4.043241e-01,8.793922e-01,2.906484e+01,3.078456e+01,6.256895e-01,6.530812e+01,1.002766e+02,-2.381694e+01,4.152463e-06,
2.399999e+00,2.516270e-01,4.046636e-01,8.791651e-01,2.906296e+01,3.077090e+01,6.258135e-01,6.528425e+01,1.002853e+02,-2.381618e+01,4.153193e-06,
2.429999e+00,2.511044e-01,4.046389e-01,8.793259e-01,2.908887e+01,3.078057e+01,6.255522e-01,6.528956e+01,1.002830e+02,-2.381663e+01,4.152759e-06,
2.459999e+00,2.516010e-01,4.039709e-01,8.794910e-01,2.904227e+01,3.079051e+01,6.258005e-01,6.532957e+01,1.002536e+02,-2.381265e+01,4.156570e-06,
2.489999e+00,2.515591e-01,4.046495e-01,8.791910e-01,2.906598e+01,3.077246e+01,6.257795e-01,6.528565e+01,1.002923e+02,-2.381005e+01,4.159060e-06,
2.519999e+00,2.513603e-01,4.043367e-01,8.793917e-01,2.906620e+01,3.078454e+01,6.256801e-01,6.530744e+01,1.002845e+02,-2.380954e+01,4.159551e-06,
2.549999e+00,2.515608e-01,4.047499e-01,8.791443e-01,2.906908e+01,3.076966e+01,6.257804e-01,6.527909e+01,1.002864e+02,-2.380796e+01,4.161057e-06,
2.579999e+00,2.510497e-01,4.045745e-01,8.793711e-01,2.908962e+01,3.078330e+01,6.255249e-01,6.529414e+01,1.002794e+02,-2.380913e+01,4.159935e-06,
2.609999e+00,2.517554e-01,4.040065e-01,8.794305e-01,2.903551e+01,3.078687e+01,6.258777e-01,6.532616e+01,1.002538e+02,-2.380554e+01,4.163379e-06,
2.639999e+00,2.515809e-01,4.046808e-01,8.791703e-01,2.906586e+01,3.077122e+01,6.257904e-01,6.528345e+01,1.002993e+02,-2.380382e+01,4.165027e-06,
2.669999e+00,2.515073e-01,4.044251e-01,8.793090e-01,2.906150e+01,3.077956e+01,6.257537e-01,6.530064e+01,1.002837e+02,-2.380265e+01,4.166147e-06,
2.699999e+00,2.513023e-01,4.052563e-01,8.789849e-01,2.909833e+01,3.076008e+01,6.256512e-01,6.524792e+01,1.003221e+02,-2.379986e+01,4.168824e-06,
2.729999e+00,2.509932e-01,4.041781e-01,8.795695e-01,2.907993e+01,3.079524e+01,6.254966e-01,6.532037e+01,1.002566e+02,-2.379988e+01,4.168808e-06,
2.759999e+00,2.519947e-01,4.041777e-01,8.792832e-01,2.902875e+01,3.077801e+01,6.259974e-01,6.531331e+01,1.002561e+02,-2.379439e+01,4.174081e-06,
2.789999e+00,2.514838e-01,4.045639e-01,8.792519e-01,2.906711e+01,3.077613e+01,6.257419e-01,6.529176e+01,1.002820e+02,-2.379569e+01,4.172830e-06,
2.819998e+00,2.516550e-01,4.043160e-01,8.793170e-01,2.905049e+01,3.078004e+01,6.258275e-01,6.530670e+01,1.002785e+02,-2.379504e+01,4.173461e-06,
2.849998e+00,2.514176e-01,4.049506e-01,8.790928e-01,2.908276e+01,3.076656e+01,6.257088e-01,6.526703e+01,1.002960e+02,-2.379369e+01,4.174754e-06,
2.879998e+00,2.511434e-01,4.042218e-01,8.795065e-01,2.907364e+01,3.079145e+01,6.255717e-01,6.531645e+01,1.002637e+02,-2.379486e+01,4.173633e-06,
2.909998e+00,2.518699e-01,4.042194e-01,8.792999e-01,2.903644e+01,3.077901e+01,6.259349e-01,6.531148e+01,1.002664e+02,-2.379060e+01,4.177724e-06,
2.939998e+00,2.514520e-01,4.046618e-01,8.792159e-01,2.907184e+01,3.077396e+01,6.257260e-01,6.528560e+01,1.002987e+02,-2.378828e+01,4.179959e-06,
2.969998e+00,2.515355e-01,4.044919e-01,8.792702e-01,2.906218e+01,3.077723e+01,6.257678e-01,6.529608e+01,1.002810e+02,-2.378794e+01,4.180290e-06,
